Hour;Temperature °C
953;5.6774
954;4.6396
955;3.243
956;1.943
957;1.7167
958;1.611
959;1.474
960;1.1258
961;0.744
962;0.3156
963;-0.323
964;-1.023
965;-1.4086
966;-1.5389
967;-1.3055
968;-0.93868
969;-0.47187
970;6.15E-02
971;0.634
972;1.234
973;1.934
974;2.5192
975;2.7366
976;2.9199
977;3.0438
978;2.5973
979;2.0969
980;1.5798
981;1.5479
982;1.5581
983;1.587
984;1.3421
985;1.1177
986;0.833
987;0.711
988;0.69568
989;0.6727
990;0.66651
991;0.69985
992;0.94326
993;1.3565
994;2.0232
995;2.5753
996;3.0543
997;3.3585
998;3.7452
999;3.9725
1000;4.178
1001;4.2009
1002;2.798
1003;0.998
1004;-0.65845
1005;-1.178
1006;-1.3675
1007;-1.5296
1008;-1.3012
1009;-0.94744
1010;-0.62054
1011;-0.35625
1012;-9.33E-02
1013;0.16826
1014;0.21904
1015;0.26026
1016;0.29874
1017;0.44448
1018;0.57333
1019;0.70219
1020;1.412
1021;2.212
1022;3.0077
1023;2.7347
1024;2.2709
1025;1.7869
1026;1.088
1027;0.288
1028;-0.51557
1029;-0.958
1030;-1.4247
1031;-1.7952
1032;-2.0805
1033;-2.3642
1034;-2.5971
1035;-2.5351
1036;-2.4723
1037;-2.4086
1038;-2.4924
1039;-2.589
1040;-2.689
1041;-2.789
1042;-2.889
1043;-2.989
1044;-2.5449
1045;-2.055
1046;-1.555
1047;-1.48
1048;-1.4387
1049;-1.4024
1050;-1.825
1051;-2.2837
1052;-2.7474
1053;-3.517
1054;-4.312
1055;-5.112
1056;-5.64
1057;-6.145
1058;-6.6646
1059;-6.902
1060;-7.1391
1061;-7.3759
1062;-7.6689
1063;-7.967
1064;-8.267
1065;-6.4473
1066;-4.4527
1067;-2.5218
1068;-0.865
1069;0.535
1070;2.035
1071;1.9328
1072;1.5437
1073;1.2333
1074;0.29771
1075;-0.69
1076;-1.4016
1077;-1.1842
1078;-0.60836
1079;3.40E-02
1080;0.367
1081;0.667
1082;0.967
1083;1.2399
1084;1.488
1085;1.7412
1086;1.8568
1087;1.91
1088;1.9632
1089;1.911
1090;1.8135
1091;1.727
1092;1.7322
1093;1.7739
1094;1.7938
1095;1.8322
1096;1.8739
1097;1.8938
1098;1.8678
1099;1.8235
1100;1.7902
1101;1.7432
1102;1.6875
1103;1.6208
1104;1.6
1105;1.6
1106;1.5926
1107;1.6764
1108;1.7322
1109;1.7549
1110;1.6987
1111;1.611
1112;1.5987
1113;1.9008
1114;2.3128
1115;2.6735
1116;2.6949
1117;2.611
1118;2.4864
1119;2.3192
1120;2.0609
1121;1.822
1122;1.3578
1123;0.78798
1124;0.37632
1125;0.111
1126;1.10E-02
1127;-8.90E-02
1128;-0.1913
1129;-0.37526
1130;-0.46975
1131;-0.83194
1132;-1.1947
1133;-1.5583
1134;-1.5647
1135;-1.5387
1136;-1.5023
1137;-1.1995
1138;-0.87174
1139;-0.53532
1140;7.75E-03
1141;0.54544
1142;1.0831
1143;1.0071
1144;0.75503
1145;0.39899
1146;-0.26992
1147;-1.1051
1148;-1.7985
1149;-2.1311
1150;-2.179
1151;-2.1257
1152;-1.9641
1153;-1.7205
1154;-1.4392
1155;-1.0418
1156;-0.57517
1157;-0.38753
